"name","id","active_rosters","drafted_by","position","years_exp","starts","benched","total_points","started_points","drafted_round","sleeper_id"
"Gerald Everett",3918639,"Let Russ Cook Deebo's Nutz,La La Land,For Trevor And Ever Amon","NA","TE",-1,7,1,49.4,44.1,0,"0000"
"Chiefs D/ST",-16012,"St Charles 69ers,The Tiger  King,La La Land","NA","D/ST",-1,3,4,46,28,0,"0000"
"Jared Goff",3046779,"Golaso King Seabass,For Trevor And Ever Amon","NA","QB",-1,8,4,170.64,116.6,0,"0000"
"Jakobi Meyers",3916433,"Golaso King Seabass,Slant Boys For Life","NA","WR",-1,2,8,58.4,11.7,0,"0000"
"Texans D/ST",-16034,"For Trevor And Ever Amon","NA","D/ST",-1,1,0,8,8,0,"0000"
"Raheem Mostert",2576414,"La La Land,For Trevor And Ever Amon","NA","RB",-1,4,6,81.4,26,0,"0000"
"Eno Benjamin",4242873,"La La Land,Golaso King Seabass","NA","RB",-1,3,2,51.9,35.8,0,"0000"
"Tyler Higbee",2573401,"Rainbow sHERBERT","NA","TE",-1,4,8,54.5,21.6,0,"0000"
"Kenny Pickett",4240703,"The Tiger  King,JC's cursed Interceptors","NA","QB",-1,2,7,94.76,32.34,0,"0000"
"D'Onta Foreman",3125116,"Let Russ Cook Deebo's Nutz","NA","RB",-1,6,4,93.2,79.8,0,"0000"
"Sony Michel",3128721,"JC's cursed Interceptors","NA","RB",-1,0,1,4.2,0,0,"0000"
"Greg Dortch",4037235,"Golaso King Seabass","NA","WR",-1,0,1,1.1,0,0,"0000"
"Tyler Conklin",3915486,"Golaso King Seabass,St Charles 69ers","NA","TE",-1,0,5,20.4,0,0,"0000"
"David Njoku",3123076,"Slant Boys For Life","NA","TE",-1,5,6,66.2,52.1,0,"0000"
"Zay Jones",3059722,"Slant Boys For Life,Golaso King Seabass","NA","WR",-1,1,2,20.3,17.7,0,"0000"
"Giants D/ST",-16019,"For Trevor And Ever Amon","NA","D/ST",-1,1,0,15,15,0,"0000"
"Samaje Perine",3116389,"La La Land,JC's cursed Interceptors","NA","RB",-1,1,3,44.7,18.5,0,"0000"
"Geno Smith",15864,"La La Land","NA","QB",-1,10,1,203.44,203.44,0,"0000"
"Teddy Bridgewater",16728,"Let Russ Cook Deebo's Nutz","NA","QB",-1,1,0,0,0,0,"0000"
"Jaguars D/ST",-16030,"Let Russ Cook Deebo's Nutz","NA","D/ST",-1,2,0,2,2,0,"0000"
"Mike Boone",3139033,"JC's cursed Interceptors","NA","RB",-1,0,2,10.9,0,0,"0000"
"Jacoby Brissett",2578570,"JC's cursed Interceptors,Cooks in the kitchen ","NA","QB",-1,7,2,108.92,108.92,0,"0000"
"Dolphins D/ST",-16015,"Slant Boys For Life,Cooks in the kitchen ,St Charles 69ers","NA","D/ST",-1,4,2,36,31,0,"0000"
"Corey Davis",3042778,"Slant Boys For Life","NA","WR",-1,1,0,4.8,4.8,0,"0000"
"Hayden Hurst",3924365,"For Trevor And Ever Amon,Golaso King Seabass,JC's cursed Interceptors,La La Land","NA","TE",-1,5,1,38.8,32.6,0,"0000"
"Vikings D/ST",-16016,"La La Land,For Trevor And Ever Amon,The Tiger  King","NA","D/ST",-1,3,0,14,14,0,"0000"
"Irv Smith Jr.",4040980,"La La Land","NA","TE",-1,1,0,6.2,6.2,0,"0000"
"Brian Robinson Jr.",4241474,"The Tiger  King","Comish11","RB",0,4,6,82.5,32,13,"8154"
"DeeJay Dallas",4240631,"Let Russ Cook Deebo's Nutz","NA","RB",-1,0,1,0.1,0,0,"0000"
"Marquez Valdes-Scantling",3051738,"Golaso King Seabass","Comish11","WR",4,0,2,2.3,0,14,"5086"
"Panthers D/ST",-16029,"Slant Boys For Life","NA","D/ST",-1,1,0,8,8,0,"0000"
"Khalil Shakir",4373678,"Slant Boys For Life","NA","WR",-1,1,0,1.9,1.9,0,"0000"
"Isaiah McKenzie",3128724,"For Trevor And Ever Amon","NA","WR",-1,1,0,1.9,1.9,0,"0000"
"Joshua Kelley",3910544,"La La Land","NA","RB",-1,0,1,0,0,0,"0000"
"Patriots D/ST",-16017,"La La Land,Rainbow sHERBERT","NA","D/ST",-1,5,4,91,56,0,"0000"
