"name","id","teams","starts","benched"
"Raiders D/ST",-16013,"9,2",2,0
"Peyton Barber",3051902,"9",1,1
"Teddy Bridgewater",16728,"10",1,0
"Titans D/ST",-16010,"10,4",7,1
"Cowboys D/ST",-16006,"3",7,4
"Chargers D/ST",-16024,"4,7",1,2
"Bears D/ST",-16003,"5,6",3,1
"Lions D/ST",-16008,"6,10",2,0
"Cole Beasley",15349,"7,4",3,6
"Christian Kirk",3895856,"7,3",3,6
"J.D. McKissic",2572861,"8,1",1,7
"Tyler Conklin",3915486,"8,10,2,1",4,1
"Packers D/ST",-16009,"8,6,1",2,1
"Emmanuel Sanders",13295,"9,1,10,7",5,6
"Hunter Henry",3046439,"10,6",1,4
"Falcons D/ST",-16001,"1,5",2,1
"Hunter Renfrow",3135321,"1,9",6,3
"A.J. Green",13983,"4,5",2,6
"Texans D/ST",-16034,"5,1",2,1
"Jeremy McNichols",3127586,"6",1,4
"Jamison Crowder",2576716,"7,1",0,2
"Alex Collins",3046409,"8",2,6
"Dalton Schultz",3117256,"8,9",5,5
"Dawson Knox",3930086,"9",4,6
"Samaje Perine",3116389,"9",0,2
"Josh Gordon",15705,"10",0,3
"Darrel Williams",3115375,"1",3,6
"Devontae Booker",3122866,"3",4,5
"Vikings D/ST",-16016,"5,9",2,1
"Ricky Seals-Jones",3051806,"6",2,1
"Kadarius Toney",4240600,"7",1,7
"Sam Darnold",3912547,"7,6",1,1
"Khalil Herbert",4035886,"8",3,1
"Zach Ertz",15835,"10,4",4,5
"Tim Patrick",3134353,"10",2,0
"Jerick McKinnon",16782,"10",0,1
"Rashaad Penny",3139925,"1",0,3
"D'Ernest Johnson",3139602,"2",5,3
"O.J. Howard",3043080,"4",1,0
"Jets D/ST",-16020,"5",1,1
"Matt Ryan",11237,"7",1,0
"Demetric Felton",4035826,"7",0,1
"Deshaun Watson",3122840,"6",0,1
"Boston Scott",3051439,"7,8",1,2
"Kirk Cousins",14880,"8,4,1,2",4,1
"C.J. Uzomah",2574576,"10",1,0
"Jeff Wilson Jr.",3122976,"1,8",2,3
"Chiefs D/ST",-16012,"4",3,0
"Ty Johnson",3915411,"6,5",4,2
"Van Jefferson",3930066,"6,1,3",3,1
"Pat Freiermuth",4361411,"6",6,0
"Derrick Gore",3925346,"7",0,1
"Bryan Edwards",4038818,"7",0,1
"Adrian Peterson",10452,"8,5",1,2
"Rashod Bateman",4360939,"10",1,5
"Brandon Bolden",15478,"4",0,2
"Le'Veon Bell",15825,"5",0,1
"Donovan Peoples-Jones",4258195,"5",0,1
"Jordan Howard",3060022,"7",0,1
"Eno Benjamin",4242873,"7",0,5
"Dan Arnold",4212989,"8",2,0
"Jalen Richard",2972091,"9",1,0
"Carson Wentz",2573079,"10",1,0
"Randall Cobb",14053,"5",0,1
"Eagles D/ST",-16021,"6",3,1
"D'Onta Foreman",3125116,"7",2,2
"Wayne Gallman",3045127,"8",0,1
"Cedrick Wilson",4036335,"3",1,0
"Dontrell Hilliard",3126246,"5",1,2
"Cam Newton",13994,"6",0,1
"Matt Breida",3049916,"1",0,1
"Foster Moreau",3843945,"1",0,1
"Mike Boone",3139033,"2",1,1
"Matthew Slater",11387,"2",1,1
"Kendrick Bourne",3045523,"3",1,0
"Rex Burkhead",15971,"3",1,1
"Gardner Minshew",4038524,"5",1,0
"Taysom Hill",2468609,"6",0,2
"Cam Akers",4240021,"6",0,2
"J.K. Dobbins",4241985,"6",0,2
"Marquez Valdes-Scantling",3051738,"1",1,0
"Gerald Everett",3918639,"1",1,0
"Travis Etienne Jr.",4239996,"3",0,1
"Taylor Heinicke",2565969,"5",1,0
"Seahawks D/ST",-16026,"6",1,0
"JaMycal Hasty",3928925,"8",0,1
"K.J. Osborn",3916566,"9",0,1
"Godwin Igwebuike",3045238,"9",0,1
